Kolumna1,Kolumna2,Kolumna3,Kolumna4
G010001,00:00:10:00,#N/D,
G010003,00:00:20:00,#N/D,
G023460,00:00:10:00,#N/D,
G023461,00:00:10:00,#N/D,
G024320,00:01:00:00,#N/D,
G024321,00:01:00:00,#N/D,
G024323,00:01:29:00,#N/D,
G024324,00:01:29:00,#N/D,
G024786,00:00:30:00,#N/D,
G024812,00:00:20:00,#N/D,
G024813,00:00:10:00,#N/D,
G025027,00:00:19:23,#N/D,
G025360,00:00:40:00,#N/D,
G025662,00:00:10:00,#N/D,
G025663,00:00:20:00,#N/D,
G025664,00:00:10:00,#N/D,
G026113,00:00:20:00,#N/D,
G026239,00:00:15:04,#N/D,
G026240,00:00:15:04,#N/D,
G026241,00:00:10:04,#N/D,
G026242,00:00:10:04,#N/D,
G026243,00:00:15:04,#N/D,
G026244,00:00:10:04,#N/D,
G026276,00:00:15:00,#N/D,
G026277,00:00:15:00,#N/D,
G026287,00:00:20:00,#N/D,
G026358,00:00:30:00,#N/D,
G026457,00:00:20:00,#N/D,
G026504,00:00:20:00,#N/D,
G026533,00:00:20:00,#N/D,
G026553,00:00:20:00,#N/D,
G026564,00:00:20:00,#N/D,
G026594,00:00:10:01,#N/D,
G026610,00:00:20:00,#N/D,
G026690,00:00:23:00,#N/D,
G026709,00:00:10:00,#N/D,
G026710,00:00:20:00,#N/D,
G026711,00:00:20:00,#N/D,
G026727,00:00:20:00,#N/D,
G026728,00:00:10:00,#N/D,
G026754,00:00:20:00,#N/D,
G026755,00:00:30:00,#N/D,
G026761,00:00:30:00,#N/D,
G026762,00:00:30:00,#N/D,
G026763,00:00:30:00,#N/D,
G026775,00:00:10:00,#N/D,
G026811,00:00:20:00,#N/D,
G026812,00:00:10:00,#N/D,
G026813,00:00:17:00,#N/D,
G026817,00:00:17:00,#N/D,
G026818,00:00:17:00,#N/D,
G026868,00:00:10:00,#N/D,
G026872,00:00:20:00,#N/D,
G026876,00:00:20:00,#N/D,
G026884,00:00:25:00,#N/D,
G026885,00:00:25:00,#N/D,
G026901,00:00:20:00,#N/D,
G026904,00:01:29:00,#N/D,
G026905,00:01:00:00,#N/D,
G026906,00:00:40:00,#N/D,
G026907,00:01:29:00,#N/D,
G026908,00:01:00:00,#N/D,
G026959,00:00:20:00,#N/D,
G026983,00:00:10:00,#N/D,
G026993,00:00:25:01,#N/D,
G026994,00:00:25:01,#N/D,
G027008,00:00:20:00,#N/D,
G027019,00:00:31:00,#N/D,
G027020,00:00:31:01,#N/D,
G027024,00:00:25:00,#N/D,
G027025,00:00:31:05,#N/D,
G027026,00:00:16:01,#N/D,
G027027,00:00:30:00,#N/D,
